Angle,Event Frequency,UNIX Time (ns)
0,0.4496625931933522,0.9999999999999999
1,1.444328360259533,0.9999999999999999
2,2.4245628267526627,0.9999999999999999
3,3.3805719017982483,0.9999999999999999
4,4.3028033673763275,0.9999999999999999
5,5.182042717933655,0.9999999999999999
6,6.009504735469818,0.9999999999999999
7,6.776921808719635,0.9999999999999999
8,7.476626098155975,0.9999999999999999
9,8.101626574993134,0.9999999999999999
10,8.645677983760834,0.9999999999999999
11,9.103344798088074,0.9999999999999999
12,9.470053970813751,0.9999999999999999
13,9.742141604423523,0.9999999999999999
14,9.91688883304596,0.9999999999999999
15,9.99254983663559,0.9999999999999999
16,9.968368589878082,0.9999999999999999
17,9.844586789608002,0.9999999999999999
18,9.622440993785858,0.9999999999999999
19,9.304150819778442,0.9999999999999999
20,8.892897009849548,0.9999999999999999
21,8.39278781414032,0.9999999999999999
22,7.808821201324463,0.9999999999999999
23,7.146831512451172,0.9999999999999999
24,6.413432061672211,0.9999999999999999
25,5.615953028202057,0.9999999999999999
26,4.762360006570816,0.9999999999999999
27,2.0458661019802094,0.5
